"datum","gemeldete_faelle","hospitalisierungen","verstorben"
"31.12.2022","41","15","0"
"30.12.2022","867","92","8"
"29.12.2022","1.203","93","6"
"28.12.2022","2.053","147","8"
"27.12.2022","1.838","146","6"
"26.12.2022","283","22","4"
"25.12.2022","79","12","0"
"24.12.2022","204","21","0"
"23.12.2022","1.466","91","5"
"22.12.2022","1.590","109","4"
"21.12.2022","1.908","128","6"
"20.12.2022","2.004","159","8"
"19.12.2022","2.272","176","12"
"18.12.2022","228","33","3"
"17.12.2022","216","23","1"
"16.12.2022","1.456","101","10"
"15.12.2022","1.357","101","4"
"14.12.2022","1.775","115","6"
"13.12.2022","2.221","128","5"
"12.12.2022","2.247","175","11"
"11.12.2022","216","25","2"
"10.12.2022","276","24","3"
"09.12.2022","1.291","90","1"
"08.12.2022","1.468","90","5"
"07.12.2022","1.644","120","11"
"06.12.2022","1.978","128","7"
"05.12.2022","1.939","143","14"
"04.12.2022","135","21","2"
"03.12.2022","190","16","4"
"02.12.2022","1.187","63","8"
"01.12.2022","1.224","95","5"
"30.11.2022","1.449","91","3"
"29.11.2022","1.638","81","5"
"28.11.2022","1.608","131","6"
"27.11.2022","187","21","2"
"26.11.2022","197","9","2"
"25.11.2022","999","76","4"
"24.11.2022","1.024","55","4"
"23.11.2022","1.058","41","4"
"22.11.2022","1.143","48","4"
"21.11.2022","1.297","73","6"
"20.11.2022","136","17","1"
"19.11.2022","136","11","2"
"18.11.2022","810","30","2"
"17.11.2022","995","54","2"
"16.11.2022","1.152","44","1"
"15.11.2022","1.428","68","3"
"14.11.2022","1.785","82","5"
"13.11.2022","194","12","1"
"12.11.2022","124","11","2"
"11.11.2022","1.086","51","5"
"10.11.2022","1.251","51","2"
"09.11.2022","1.479","55","5"
"08.11.2022","1.720","58","1"
"07.11.2022","2.053","93","9"
"06.11.2022","279","18","3"
"05.11.2022","283","10","1"
"04.11.2022","1.416","58","4"
"03.11.2022","1.936","77","5"
"02.11.2022","2.413","71","4"
"01.11.2022","2.505","84","4"
"31.10.2022","277","22","3"
"30.10.2022","455","18","3"
"29.10.2022","377","21","1"
"28.10.2022","1.727","48","2"
"27.10.2022","1.698","61","2"
"26.10.2022","2.337","77","7"
"25.10.2022","3.125","92","7"
"24.10.2022","3.172","115","5"
"23.10.2022","522","30","0"
"22.10.2022","650","25","0"
"21.10.2022","2.239","80","3"
"20.10.2022","2.288","84","8"
"19.10.2022","2.808","93","6"
"18.10.2022","3.896","115","8"
"17.10.2022","3.840","158","11"
"16.10.2022","487","21","1"
"15.10.2022","607","30","2"
"14.10.2022","2.570","82","6"
"13.10.2022","2.784","95","8"
"12.10.2022","3.405","96","7"
"11.10.2022","4.039","86","7"
"10.10.2022","3.930","143","8"
"09.10.2022","801","20","3"
"08.10.2022","726","29","0"
"07.10.2022","3.208","80","6"
"06.10.2022","3.930","104","8"
"05.10.2022","4.645","122","10"
"04.10.2022","3.996","162","16"
"03.10.2022","481","28","3"
"02.10.2022","534","29","0"
"01.10.2022","498","22","0"
"30.09.2022","2.028","69","5"
