"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"256924";"S";"de:01004:105089";"de:01004:105089";"Neumünster Freesenburg/Wasbeker Straße";"54,068948";"9,939479";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256925";"Q";"de:01004:105089::1";"de:01004:105089";"Neumünster Freesenburg/Wasbeker Straße";"54,068948";"9,939479";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256926";"S";"de:01004:105090";"de:01004:105090";"Neumünster Geerdtsstraße";"54,087843";"9,953129";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256927";"Q";"de:01004:105090::1";"de:01004:105090";"Neumünster Geerdtsstraße";"54,087917";"9,952647";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256928";"S";"de:01004:105091";"de:01004:105091";"Neumünster Holstenhallen/Rendsburger Straße";"54,094539";"9,972724";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256929";"Q";"de:01004:105091::1";"de:01004:105091";"Neumünster Holstenhallen/Rendsburger Straße";"54,094539";"9,972724";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256930";"Q";"de:01004:105091::2";"de:01004:105091";"Neumünster Holstenhallen/Rendsburger Straße";"54,094573";"9,972625";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256931";"S";"de:01004:105092";"de:01004:105092";"Neumünster Wiesenstraße";"54,051096";"9,973533";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256932";"Q";"de:01004:105092::1";"de:01004:105092";"Neumünster Wiesenstraße";"54,051032";"9,973646";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256933";"S";"de:01004:23309";"de:01004:23309";"Neumünster-Einfeld";"54,129373";"9,997923";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256934";"Q";"de:01004:23309::1";"de:01004:23309";"Einfeld";"54,129373";"9,997923";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256935";"S";"de:01004:581";"de:01004:581";"Neumünster Klosterstraße";"54,078425";"9,993975";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256936";"Q";"de:01004:581::1";"de:01004:581";"Neumünster Klosterstraße";"54,078831";"9,993979";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256937";"Q";"de:01004:581::2";"de:01004:581";"Neumünster Klosterstraße";"54,078072";"9,993998";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256938";"S";"de:01004:582";"de:01004:582";"Neumünster Donaubogen";"54,039554";"9,980939";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256939";"Q";"de:01004:582::1";"de:01004:582";"Neumünster Donaubogen";"54,039495";"9,980792";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256940";"S";"de:01004:583";"de:01004:583";"Neumünster Isarstraße";"54,036668";"9,986816";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256941";"Q";"de:01004:583::1";"de:01004:583";"Neumünster Isarstraße";"54,036603";"9,986801";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256942";"S";"de:01004:584";"de:01004:584";"Neumünster Isarstraße 44";"54,036563";"10,00821";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256943";"Q";"de:01004:584::1";"de:01004:584";"Neumünster Isarstraße 44";"54,036563";"10,00821";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256944";"S";"de:01004:585";"de:01004:585";"Neumünster Isarstraße 20";"54,038504";"10,00057";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256945";"Q";"de:01004:585::1";"de:01004:585";"Neumünster Isarstraße 20";"54,038551";"10,000554";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256946";"S";"de:01004:586";"de:01004:586";"Neumünster Edeka Meyer's";"54,080499";"9,993821";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256947";"Q";"de:01004:586::1";"de:01004:586";"Neumünster Edeka Meyer's";"54,080499";"9,993821";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256948";"S";"de:01004:587";"de:01004:587";"Neumünster Tulpenweg";"54,099443";"10,002062";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256949";"Q";"de:01004:587::1";"de:01004:587";"Neumünster Tulpenweg";"54,099443";"10,002062";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256950";"Q";"de:01004:587::2";"de:01004:587";"Neumünster Tulpenweg";"54,098941";"10,001912";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256951";"S";"de:01004:588";"de:01004:588";"Neumünster Mitteljörn";"54,095636";"10,001588";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256952";"Q";"de:01004:588::1";"de:01004:588";"Neumünster Mitteljörn";"54,095636";"10,001588";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256953";"Q";"de:01004:588::2";"de:01004:588";"Neumünster Mitteljörn";"54,095331";"10,001473";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256954";"S";"de:01004:61254";"de:01004:61254";"Messpunkt Neumünster-Nord";"54,123771";"9,954169";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256955";"Q";"de:01004:61254::1";"de:01004:61254";"Messpunkt Neumünster-Nord";"54,122454";"9,953217";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256956";"S";"de:01004:66023";"de:01004:66023";"Neumünster";"54,075752";"9,979816";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256957";"Q";"de:01004:66023::1";"de:01004:66023";"Neumünster";"54,075752";"9,979816";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256958";"S";"de:01004:66024";"de:01004:66024";"Neumünster Allerstraße";"54,044025";"9,999238";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256959";"Q";"de:01004:66024::1";"de:01004:66024";"Neumünster Allerstraße";"54,044025";"9,999238";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256960";"S";"de:01004:66025";"de:01004:66025";"Neumünster Alsenplatz";"54,091644";"10,006772";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256961";"Q";"de:01004:66025::1";"de:01004:66025";"Neumünster Alsenplatz";"54,09143";"10,006821";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256962";"Q";"de:01004:66025::2";"de:01004:66025";"Neumünster Alsenplatz";"54,091722";"10,006166";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256963";"S";"de:01004:66026";"de:01004:66026";"Neumünster Am Graben";"54,04796";"9,99608";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"256964";"Q";"de:01004:66026::1";"de:01004:66026";"Neumünster Am Graben";"54,04796";"9,99608";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"256965";"S";"de:01004:66027";"de:01004:66027";"Neumünster Am Neuen Kamp";"54,092655";"9,972323";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
