Land;Stadt;Kategorie;Merkmal;Jahr;Betriebe
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2001;1516
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2002;1496
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2003;1495
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2004;1576
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2005;1602
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2006;1642
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2007;1641
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2008;1651
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2009;1688
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2010;1652
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2011;1616
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2012;1663
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2013;1682
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2014;1684
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2015;1687
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2016;1694
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2017;1689
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2018;1696
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2019;1728
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2020;1772
de-sh;Kiel;wirtschaft_arbeit;Handwerksbetriebe;2021;1656
