Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4
Allego GmbH,Moislinger Allee,56,,02355,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.858942,10.671009,2023-02-01,150,Schnellladeeinrichtung,2,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A034200047EC6A2EE3DF0B9CAEC88A37B6639A065A96F5F61E0130C0785E868F286C5B40D39451A824EAD4D14CC84D21A2E9CA1C83C0CAD5699401F1BABF2A0EA1DEA2CB0,DC Kupplung Combo,150,3056301006072A8648CE3D020106052B8104000A03420004C6CD284239B89FF7A22B261BF68720F7AC3467BBD56A5B326E21946EE7018331AE5CD4F5A2B6F09D627B74369D7AB86CD74CBC5C5D09F1A50305470A4EDC5A7E,,,,,,
Stadtwerke Lübeck GmbH,Beckergrube,33,,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.8696089,10.68481,2017-03-29,44,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,,"AC Steckdose Typ 2, AC Schuko",22,,,,,,,
Stadtwerke Lübeck GmbH,Musterbahn,19,,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.860044,10.685351,2016-08-29,80,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,,"AC Steckdose Typ 2, AC Schuko",22,,,,,,,
GP JOULE Connect GmbH,Königstraße,84-96,,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.865102,10.686306,2020-01-21,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4AED 54E6 20E0 246D FF57 9D81 9506 EB92 4E07 C6E9 B75A 0D7B 4A72 BF64 F40F 2474 A08F 534C B70A E4F5 67A1 10BF EBBC 1FA2 F6C5 0B78 308B BE52 0C3B 0A8F 5255 A5F7 1",,,3 0593 0130 6072 A864 8CE3 D020 1060 82A8 648C E3D0 3010 7034 2000 4199 CD5E FDDD EB36 8162 97C6 9784 0CC7 F240 2292 0AFD F0C2 1845 D7DC 4334 A614 D5F5 BA52 0E98 0E32 C24F FFB6 A753 38CC 881D 1201 42F8 9A8B 54E1 35AE F7F4 3B90 E,,,,,,
Stadtwerke Lübeck GmbH,Mühlenstraße,37,,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.8632242,10.68696194,2017-03-29,44,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,,"AC Steckdose Typ 2, AC Schuko",22,,,,,,,
Stadtwerke Lübeck GmbH,Kanalstraße,1,,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.873147,10.693202,2016-09-30,80,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC Schuko",22,,"AC Steckdose Typ 2, AC Schuko",22,,,,,,,
Stadtwerke Lübeck GmbH,Hüxterdamm,3,City Parkhaus Hüxstraße,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.864929,10.6940195,2021-01-13,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Lübeck GmbH,Hüxterdamm,3,City Parkhaus Hüxstraße,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.864929,10.69402,2021-01-13,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Lübeck GmbH,Hüxterdamm,3,City Parkhaus Hüxstraße,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.864929,10.69402,2021-01-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
Stadtwerke Lübeck GmbH,Hüxterdamm,3,City Parkhaus Hüxstraße,23552,Lübeck,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.864929,10.69402,2021-01-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,
